info: Microsoft.Hosting.Lifetime[14]
      Now listening on: http://[::]:5029
info: Microsoft.Hosting.Lifetime[0]
      Application started. Press Ctrl+C to shut down.
info: Microsoft.Hosting.Lifetime[0]
      Hosting environment: Production
info: Microsoft.Hosting.Lifetime[0]
      Content root path: D:\_程序\AsyncAwaitDemo2\MiddleServer\bin\Debug\net6.0\
2023-03-16 14:13:02.765 当前已处理请求数量：0，当前已发送请求数量：0
2023-03-16 14:13:04.755 当前已处理请求数量：0，当前已发送请求数量：0
2023-03-16 14:13:06.764 当前已处理请求数量：0，当前已发送请求数量：0
2023-03-16 14:13:08.754 当前已处理请求数量：0，当前已发送请求数量：0
2023-03-16 14:13:10.763 当前已处理请求数量：500，当前已发送请求数量：1723
2023-03-16 14:13:12.770 当前已处理请求数量：500，当前已发送请求数量：3968
2023-03-16 14:13:14.798 当前已处理请求数量：500，当前已发送请求数量：12601
2023-03-16 14:13:16.806 当前已处理请求数量：500，当前已发送请求数量：34155
2023-03-16 14:13:18.590 结束，查询次数：286，结果数量：4015，去重-->3937，耗时：9.262秒
2023-03-16 14:13:18.641 结束，查询次数：286，结果数量：3955，去重-->3883，耗时：9.331秒
2023-03-16 14:13:18.651 结束，查询次数：286，结果数量：3959，去重-->3881，耗时：9.342秒
2023-03-16 14:13:18.666 结束，查询次数：286，结果数量：3956，去重-->3865，耗时：9.341秒
2023-03-16 14:13:18.685 结束，查询次数：286，结果数量：3987，去重-->3911，耗时：9.362秒
2023-03-16 14:13:18.691 结束，查询次数：286，结果数量：3928，去重-->3858，耗时：9.369秒
2023-03-16 14:13:18.711 结束，查询次数：286，结果数量：4000，去重-->3924，耗时：9.381秒
2023-03-16 14:13:18.713 结束，查询次数：286，结果数量：3917，去重-->3846，耗时：9.390秒
2023-03-16 14:13:18.713 结束，查询次数：286，结果数量：4024，去重-->3941，耗时：9.390秒
2023-03-16 14:13:18.714 结束，查询次数：286，结果数量：3993，去重-->3900，耗时：9.390秒
2023-03-16 14:13:18.717 结束，查询次数：286，结果数量：3887，去重-->3803，耗时：9.394秒
2023-03-16 14:13:18.720 结束，查询次数：286，结果数量：3948，去重-->3868，耗时：9.392秒
2023-03-16 14:13:18.720 结束，查询次数：286，结果数量：3927，去重-->3849，耗时：9.395秒
2023-03-16 14:13:18.722 结束，查询次数：286，结果数量：4019，去重-->3946，耗时：9.389秒
2023-03-16 14:13:18.723 结束，查询次数：286，结果数量：4053，去重-->3979，耗时：9.395秒
2023-03-16 14:13:18.723 结束，查询次数：286，结果数量：4009，去重-->3927，耗时：9.397秒
2023-03-16 14:13:18.724 结束，查询次数：286，结果数量：4019，去重-->3939，耗时：9.401秒
2023-03-16 14:13:18.728 结束，查询次数：286，结果数量：4051，去重-->3973，耗时：9.390秒
2023-03-16 14:13:18.740 结束，查询次数：286，结果数量：4077，去重-->3994，耗时：9.414秒
2023-03-16 14:13:18.741 结束，查询次数：286，结果数量：3946，去重-->3865，耗时：9.418秒
2023-03-16 14:13:18.742 结束，查询次数：286，结果数量：3974，去重-->3895，耗时：9.410秒
2023-03-16 14:13:18.744 结束，查询次数：286，结果数量：3898，去重-->3825，耗时：9.414秒
2023-03-16 14:13:18.745 结束，查询次数：286，结果数量：4015，去重-->3936，耗时：9.411秒
2023-03-16 14:13:18.749 结束，查询次数：286，结果数量：3992，去重-->3913，耗时：9.440秒
2023-03-16 14:13:18.758 结束，查询次数：286，结果数量：3962，去重-->3879，耗时：9.430秒
2023-03-16 14:13:18.759 结束，查询次数：286，结果数量：4003，去重-->3936，耗时：9.436秒
2023-03-16 14:13:18.760 结束，查询次数：286，结果数量：3994，去重-->3921，耗时：9.436秒
2023-03-16 14:13:18.760 结束，查询次数：286，结果数量：4016，去重-->3928，耗时：9.437秒
2023-03-16 14:13:18.760 结束，查询次数：286，结果数量：4084，去重-->3988，耗时：9.433秒
2023-03-16 14:13:18.761 结束，查询次数：286，结果数量：3960，去重-->3885，耗时：9.439秒
2023-03-16 14:13:18.762 结束，查询次数：286，结果数量：4008，去重-->3908，耗时：9.432秒
2023-03-16 14:13:18.763 结束，查询次数：286，结果数量：3930，去重-->3846，耗时：9.453秒
2023-03-16 14:13:18.764 结束，查询次数：286，结果数量：4000，去重-->3915，耗时：9.442秒
2023-03-16 14:13:18.764 结束，查询次数：286，结果数量：3990，去重-->3915，耗时：9.441秒
2023-03-16 14:13:18.765 结束，查询次数：286，结果数量：4034，去重-->3942，耗时：9.442秒
2023-03-16 14:13:18.765 结束，查询次数：286，结果数量：3928，去重-->3862，耗时：9.432秒
2023-03-16 14:13:18.765 结束，查询次数：286，结果数量：4049，去重-->3969，耗时：9.443秒
2023-03-16 14:13:18.766 结束，查询次数：286，结果数量：4007，去重-->3934，耗时：9.434秒
2023-03-16 14:13:18.766 结束，查询次数：286，结果数量：3987，去重-->3910，耗时：9.435秒
2023-03-16 14:13:18.766 结束，查询次数：286，结果数量：4024，去重-->3946，耗时：9.443秒
2023-03-16 14:13:18.766 结束，查询次数：286，结果数量：3937，去重-->3849，耗时：9.246秒
2023-03-16 14:13:18.767 结束，查询次数：286，结果数量：3960，去重-->3885，耗时：9.436秒
2023-03-16 14:13:18.773 当前已处理请求数量：542，当前已发送请求数量：56704
2023-03-16 14:13:18.780 结束，查询次数：286，结果数量：3956，去重-->3871，耗时：9.448秒
2023-03-16 14:13:18.780 结束，查询次数：286，结果数量：4014，去重-->3921，耗时：9.458秒
2023-03-16 14:13:18.780 结束，查询次数：286，结果数量：3974，去重-->3890，耗时：9.454秒
2023-03-16 14:13:18.782 结束，查询次数：286，结果数量：3947，去重-->3873，耗时：9.460秒
2023-03-16 14:13:18.783 结束，查询次数：286，结果数量：4047，去重-->3971，耗时：9.461秒
2023-03-16 14:13:18.783 结束，查询次数：286，结果数量：3999，去重-->3921，耗时：9.454秒
2023-03-16 14:13:18.784 结束，查询次数：286，结果数量：3884，去重-->3803，耗时：9.450秒
2023-03-16 14:13:18.788 结束，查询次数：286，结果数量：3988，去重-->3924，耗时：9.452秒
2023-03-16 14:13:18.788 结束，查询次数：286，结果数量：3972，去重-->3898，耗时：9.464秒
2023-03-16 14:13:18.788 结束，查询次数：286，结果数量：3984，去重-->3914，耗时：9.462秒
2023-03-16 14:13:18.788 结束，查询次数：286，结果数量：3995，去重-->3896，耗时：9.465秒
2023-03-16 14:13:18.790 结束，查询次数：286，结果数量：3965，去重-->3897，耗时：9.462秒
2023-03-16 14:13:18.797 结束，查询次数：286，结果数量：4015，去重-->3928，耗时：9.459秒
2023-03-16 14:13:18.797 结束，查询次数：286，结果数量：3950，去重-->3880，耗时：9.474秒
2023-03-16 14:13:18.797 结束，查询次数：286，结果数量：3999，去重-->3922，耗时：9.474秒
2023-03-16 14:13:18.800 结束，查询次数：286，结果数量：3975，去重-->3893，耗时：9.477秒
2023-03-16 14:13:18.801 结束，查询次数：286，结果数量：3899，去重-->3836，耗时：9.468秒
2023-03-16 14:13:18.804 结束，查询次数：286，结果数量：4016，去重-->3930，耗时：9.480秒
2023-03-16 14:13:18.804 结束，查询次数：286，结果数量：4004，去重-->3930，耗时：9.481秒
2023-03-16 14:13:18.804 结束，查询次数：286，结果数量：3974，去重-->3913，耗时：9.475秒
2023-03-16 14:13:18.804 结束，查询次数：286，结果数量：4007，去重-->3929，耗时：9.482秒
2023-03-16 14:13:18.804 结束，查询次数：286，结果数量：3933，去重-->3865，耗时：9.474秒
2023-03-16 14:13:18.804 结束，查询次数：286，结果数量：4106，去重-->4033，耗时：9.480秒
2023-03-16 14:13:18.805 结束，查询次数：286，结果数量：4028，去重-->3947，耗时：9.495秒
2023-03-16 14:13:18.805 结束，查询次数：286，结果数量：4025，去重-->3955，耗时：9.468秒
2023-03-16 14:13:18.806 结束，查询次数：286，结果数量：3956，去重-->3884，耗时：9.483秒
2023-03-16 14:13:18.806 结束，查询次数：286，结果数量：4036，去重-->3964，耗时：9.469秒
2023-03-16 14:13:18.806 结束，查询次数：286，结果数量：4108，去重-->4017，耗时：9.497秒
2023-03-16 14:13:18.806 结束，查询次数：286，结果数量：4025，去重-->3942，耗时：9.472秒
2023-03-16 14:13:18.807 结束，查询次数：286，结果数量：4011，去重-->3941，耗时：9.485秒
2023-03-16 14:13:18.807 结束，查询次数：286，结果数量：4043，去重-->3968，耗时：9.476秒
2023-03-16 14:13:18.808 结束，查询次数：286，结果数量：3943，去重-->3872，耗时：9.478秒
2023-03-16 14:13:18.808 结束，查询次数：286，结果数量：3994，去重-->3909，耗时：9.484秒
2023-03-16 14:13:18.808 结束，查询次数：286，结果数量：4139，去重-->4056，耗时：9.472秒
2023-03-16 14:13:18.809 结束，查询次数：286，结果数量：3993，去重-->3905，耗时：9.472秒
2023-03-16 14:13:18.809 结束，查询次数：286，结果数量：3945，去重-->3869，耗时：9.486秒
2023-03-16 14:13:18.809 结束，查询次数：286，结果数量：4022，去重-->3945，耗时：9.473秒
2023-03-16 14:13:18.809 结束，查询次数：286，结果数量：4046，去重-->3969，耗时：9.484秒
2023-03-16 14:13:18.810 结束，查询次数：286，结果数量：3987，去重-->3917，耗时：9.477秒
2023-03-16 14:13:18.810 结束，查询次数：286，结果数量：4061，去重-->3964，耗时：9.485秒
2023-03-16 14:13:18.811 结束，查询次数：286，结果数量：4042，去重-->3955，耗时：9.487秒
2023-03-16 14:13:18.811 结束，查询次数：286，结果数量：4016，去重-->3949，耗时：9.488秒
2023-03-16 14:13:18.811 结束，查询次数：286，结果数量：3995，去重-->3917，耗时：9.488秒
2023-03-16 14:13:18.811 结束，查询次数：286，结果数量：3970，去重-->3896，耗时：9.489秒
2023-03-16 14:13:18.811 结束，查询次数：286，结果数量：3982，去重-->3894，耗时：9.486秒
2023-03-16 14:13:18.812 结束，查询次数：286，结果数量：4007，去重-->3941，耗时：9.479秒
2023-03-16 14:13:18.812 结束，查询次数：286，结果数量：4033，去重-->3960，耗时：9.503秒
2023-03-16 14:13:18.813 结束，查询次数：286，结果数量：4014，去重-->3938，耗时：9.479秒
2023-03-16 14:13:18.813 结束，查询次数：286，结果数量：3990，去重-->3905，耗时：9.479秒
2023-03-16 14:13:18.816 结束，查询次数：286，结果数量：4068，去重-->3994，耗时：9.492秒
2023-03-16 14:13:18.817 结束，查询次数：286，结果数量：4054，去重-->3957，耗时：9.495秒
2023-03-16 14:13:18.818 结束，查询次数：286，结果数量：4005，去重-->3926，耗时：9.497秒
2023-03-16 14:13:18.820 结束，查询次数：286，结果数量：4013，去重-->3932，耗时：9.486秒
2023-03-16 14:13:18.821 结束，查询次数：286，结果数量：3952，去重-->3867，耗时：9.494秒
2023-03-16 14:13:18.821 结束，查询次数：286，结果数量：3975，去重-->3894，耗时：9.487秒
2023-03-16 14:13:18.821 结束，查询次数：286，结果数量：4034，去重-->3956，耗时：9.484秒
2023-03-16 14:13:18.822 结束，查询次数：286，结果数量：3974，去重-->3896，耗时：9.489秒
2023-03-16 14:13:18.822 结束，查询次数：286，结果数量：3929，去重-->3855，耗时：9.499秒
2023-03-16 14:13:18.823 结束，查询次数：286，结果数量：4043，去重-->3966，耗时：9.500秒
2023-03-16 14:13:18.824 结束，查询次数：286，结果数量：4002，去重-->3931，耗时：9.304秒
2023-03-16 14:13:18.824 结束，查询次数：286，结果数量：4050，去重-->3968，耗时：9.496秒
2023-03-16 14:13:18.824 结束，查询次数：286，结果数量：4021，去重-->3932，耗时：9.488秒
2023-03-16 14:13:18.826 结束，查询次数：286，结果数量：4057，去重-->3981，耗时：9.503秒
2023-03-16 14:13:18.826 结束，查询次数：286，结果数量：3915，去重-->3827，耗时：9.495秒
2023-03-16 14:13:18.826 结束，查询次数：286，结果数量：3974，去重-->3900，耗时：9.504秒
2023-03-16 14:13:18.827 结束，查询次数：286，结果数量：4015，去重-->3935，耗时：9.504秒
2023-03-16 14:13:18.828 结束，查询次数：286，结果数量：4069，去重-->3999，耗时：9.497秒
2023-03-16 14:13:18.829 结束，查询次数：286，结果数量：4010，去重-->3936，耗时：9.499秒
2023-03-16 14:13:18.829 结束，查询次数：286，结果数量：3909，去重-->3833，耗时：9.506秒
2023-03-16 14:13:18.829 结束，查询次数：286，结果数量：4005，去重-->3912，耗时：9.502秒
2023-03-16 14:13:18.830 结束，查询次数：286，结果数量：4041，去重-->3948，耗时：9.311秒
2023-03-16 14:13:18.831 结束，查询次数：286，结果数量：3985，去重-->3905，耗时：9.499秒
2023-03-16 14:13:18.831 结束，查询次数：286，结果数量：3963，去重-->3889，耗时：9.494秒
2023-03-16 14:13:18.831 结束，查询次数：286，结果数量：4020，去重-->3946，耗时：9.312秒
2023-03-16 14:13:18.831 结束，查询次数：286，结果数量：3930，去重-->3869，耗时：9.498秒
2023-03-16 14:13:18.832 结束，查询次数：286，结果数量：3988，去重-->3907，耗时：9.495秒
2023-03-16 14:13:18.832 结束，查询次数：286，结果数量：4035，去重-->3956，耗时：9.507秒
2023-03-16 14:13:18.833 结束，查询次数：286，结果数量：4015，去重-->3935，耗时：9.496秒
2023-03-16 14:13:18.833 结束，查询次数：286，结果数量：3957，去重-->3881，耗时：9.503秒
2023-03-16 14:13:18.833 结束，查询次数：286，结果数量：4009，去重-->3938，耗时：9.512秒
2023-03-16 14:13:18.834 结束，查询次数：286，结果数量：4010，去重-->3926，耗时：9.505秒
2023-03-16 14:13:18.834 结束，查询次数：286，结果数量：4020，去重-->3932，耗时：9.499秒
2023-03-16 14:13:18.834 结束，查询次数：286，结果数量：3981，去重-->3903，耗时：9.512秒
2023-03-16 14:13:18.836 结束，查询次数：286，结果数量：3964，去重-->3886，耗时：9.513秒
2023-03-16 14:13:18.837 结束，查询次数：286，结果数量：3962，去重-->3888，耗时：9.515秒
2023-03-16 14:13:18.838 结束，查询次数：286，结果数量：3992，去重-->3922，耗时：9.501秒
2023-03-16 14:13:18.840 结束，查询次数：286，结果数量：3961，去重-->3876，耗时：9.514秒
2023-03-16 14:13:18.840 结束，查询次数：286，结果数量：4048，去重-->3957，耗时：9.518秒
2023-03-16 14:13:18.840 结束，查询次数：286，结果数量：4048，去重-->3962，耗时：9.517秒
2023-03-16 14:13:18.840 结束，查询次数：286，结果数量：3966，去重-->3882，耗时：9.505秒
2023-03-16 14:13:18.841 结束，查询次数：286，结果数量：3971，去重-->3890，耗时：9.503秒
2023-03-16 14:13:18.842 结束，查询次数：286，结果数量：4027，去重-->3953，耗时：9.532秒
2023-03-16 14:13:18.843 结束，查询次数：286，结果数量：3955，去重-->3870，耗时：9.521秒
2023-03-16 14:13:18.843 结束，查询次数：286，结果数量：3965，去重-->3891，耗时：9.521秒
2023-03-16 14:13:18.843 结束，查询次数：286，结果数量：4000，去重-->3920，耗时：9.521秒
2023-03-16 14:13:18.843 结束，查询次数：286，结果数量：4077，去重-->3991，耗时：9.514秒
2023-03-16 14:13:18.845 结束，查询次数：286，结果数量：3918，去重-->3847，耗时：9.522秒
2023-03-16 14:13:18.845 结束，查询次数：286，结果数量：3991，去重-->3913，耗时：9.536秒
2023-03-16 14:13:18.846 结束，查询次数：286，结果数量：3945，去重-->3867，耗时：9.326秒
2023-03-16 14:13:18.846 结束，查询次数：286，结果数量：3903，去重-->3818，耗时：9.523秒
2023-03-16 14:13:18.846 结束，查询次数：286，结果数量：4042，去重-->3968，耗时：9.511秒
2023-03-16 14:13:18.846 结束，查询次数：286，结果数量：3965，去重-->3895，耗时：9.522秒
2023-03-16 14:13:18.846 结束，查询次数：286，结果数量：3998，去重-->3929，耗时：9.520秒
2023-03-16 14:13:18.847 结束，查询次数：286，结果数量：4045，去重-->3948，耗时：9.525秒
2023-03-16 14:13:18.848 结束，查询次数：286，结果数量：3951，去重-->3862，耗时：9.523秒
2023-03-16 14:13:18.848 结束，查询次数：286，结果数量：3999，去重-->3922，耗时：9.526秒
2023-03-16 14:13:18.848 结束，查询次数：286，结果数量：3858，去重-->3792，耗时：9.329秒
2023-03-16 14:13:18.848 结束，查询次数：286，结果数量：3976，去重-->3883，耗时：9.525秒
2023-03-16 14:13:18.851 结束，查询次数：286，结果数量：3966，去重-->3890，耗时：9.526秒
2023-03-16 14:13:18.851 结束，查询次数：286，结果数量：4045，去重-->3972，耗时：9.528秒
2023-03-16 14:13:18.851 结束，查询次数：286，结果数量：4034，去重-->3943，耗时：9.528秒
2023-03-16 14:13:18.853 结束，查询次数：286，结果数量：3944，去重-->3854，耗时：9.525秒
2023-03-16 14:13:18.854 结束，查询次数：286，结果数量：4010，去重-->3936，耗时：9.531秒
2023-03-16 14:13:18.854 结束，查询次数：286，结果数量：4056，去重-->3983，耗时：9.521秒
2023-03-16 14:13:18.854 结束，查询次数：286，结果数量：4012，去重-->3927，耗时：9.531秒
2023-03-16 14:13:18.854 结束，查询次数：286，结果数量：3994，去重-->3914，耗时：9.519秒
2023-03-16 14:13:18.855 结束，查询次数：286，结果数量：4064，去重-->3988，耗时：9.533秒
2023-03-16 14:13:18.856 结束，查询次数：286，结果数量：3964，去重-->3905，耗时：9.531秒
2023-03-16 14:13:18.856 结束，查询次数：286，结果数量：4011，去重-->3946，耗时：9.534秒
2023-03-16 14:13:18.858 结束，查询次数：286，结果数量：3975，去重-->3908，耗时：9.526秒
2023-03-16 14:13:18.858 结束，查询次数：286，结果数量：3977，去重-->3894，耗时：9.534秒
2023-03-16 14:13:18.858 结束，查询次数：286，结果数量：3927，去重-->3854，耗时：9.536秒
2023-03-16 14:13:18.858 结束，查询次数：286，结果数量：4042，去重-->3964，耗时：9.533秒
2023-03-16 14:13:18.858 结束，查询次数：286，结果数量：3934，去重-->3844，耗时：9.529秒
2023-03-16 14:13:18.860 结束，查询次数：286，结果数量：3986，去重-->3920，耗时：9.532秒
2023-03-16 14:13:18.861 结束，查询次数：286，结果数量：4052，去重-->3974，耗时：9.536秒
2023-03-16 14:13:18.861 结束，查询次数：286，结果数量：4002，去重-->3924，耗时：9.341秒
2023-03-16 14:13:18.861 结束，查询次数：286，结果数量：3956，去重-->3867，耗时：9.538秒
2023-03-16 14:13:18.861 结束，查询次数：286，结果数量：3932，去重-->3847，耗时：9.527秒
2023-03-16 14:13:18.863 结束，查询次数：286，结果数量：4030，去重-->3948，耗时：9.533秒
2023-03-16 14:13:18.863 结束，查询次数：286，结果数量：4043，去重-->3980，耗时：9.534秒
2023-03-16 14:13:18.864 结束，查询次数：286，结果数量：4010，去重-->3928，耗时：9.537秒
2023-03-16 14:13:18.865 结束，查询次数：286，结果数量：4057，去重-->3993，耗时：9.528秒
2023-03-16 14:13:18.865 结束，查询次数：286，结果数量：3900，去重-->3830，耗时：9.543秒
2023-03-16 14:13:18.865 结束，查询次数：286，结果数量：4047，去重-->3978，耗时：9.534秒
2023-03-16 14:13:18.866 结束，查询次数：286，结果数量：3945，去重-->3859，耗时：9.542秒
2023-03-16 14:13:18.866 结束，查询次数：286，结果数量：3987，去重-->3903，耗时：9.543秒
2023-03-16 14:13:18.866 结束，查询次数：286，结果数量：4049，去重-->3952，耗时：9.531秒
2023-03-16 14:13:18.867 结束，查询次数：286，结果数量：4032，去重-->3955，耗时：9.541秒
2023-03-16 14:13:18.867 结束，查询次数：286，结果数量：3999，去重-->3933，耗时：9.542秒
2023-03-16 14:13:18.868 结束，查询次数：286，结果数量：4017，去重-->3935，耗时：9.533秒
2023-03-16 14:13:18.869 结束，查询次数：286，结果数量：3897，去重-->3818，耗时：9.539秒
2023-03-16 14:13:18.870 结束，查询次数：286，结果数量：3950，去重-->3873，耗时：9.539秒
2023-03-16 14:13:18.870 结束，查询次数：286，结果数量：3957，去重-->3891，耗时：9.534秒
2023-03-16 14:13:18.870 结束，查询次数：286，结果数量：3989，去重-->3894，耗时：9.535秒
2023-03-16 14:13:18.876 结束，查询次数：286，结果数量：4041，去重-->3969，耗时：9.356秒
2023-03-16 14:13:18.876 结束，查询次数：286，结果数量：3994，去重-->3919，耗时：9.540秒
2023-03-16 14:13:18.876 结束，查询次数：286，结果数量：3943，去重-->3851，耗时：9.553秒
2023-03-16 14:13:18.902 结束，查询次数：286，结果数量：3949，去重-->3876，耗时：9.568秒
2023-03-16 14:13:18.910 结束，查询次数：286，结果数量：3966，去重-->3889，耗时：9.574秒
2023-03-16 14:13:18.914 结束，查询次数：286，结果数量：3997，去重-->3921，耗时：9.584秒
2023-03-16 14:13:18.914 结束，查询次数：286，结果数量：4011，去重-->3925，耗时：9.592秒
2023-03-16 14:13:18.916 结束，查询次数：286，结果数量：4010，去重-->3938，耗时：9.594秒
2023-03-16 14:13:18.916 结束，查询次数：286，结果数量：4016，去重-->3937，耗时：9.580秒
2023-03-16 14:13:18.918 结束，查询次数：286，结果数量：3943，去重-->3856，耗时：9.581秒
2023-03-16 14:13:18.918 结束，查询次数：286，结果数量：4056，去重-->3976，耗时：9.582秒
2023-03-16 14:13:18.918 结束，查询次数：286，结果数量：4066，去重-->3971，耗时：9.585秒
2023-03-16 14:13:18.918 结束，查询次数：286，结果数量：3998，去重-->3909，耗时：9.586秒
2023-03-16 14:13:20.789 当前已处理请求数量：700，当前已发送请求数量：72549
2023-03-16 14:13:22.101 结束，查询次数：286，结果数量：4015，去重-->3942，耗时：3.309秒
2023-03-16 14:13:22.122 结束，查询次数：286，结果数量：4001，去重-->3923，耗时：3.328秒
2023-03-16 14:13:22.126 结束，查询次数：286，结果数量：3951，去重-->3880，耗时：3.328秒
2023-03-16 14:13:22.171 结束，查询次数：286，结果数量：4032，去重-->3956，耗时：3.378秒
2023-03-16 14:13:22.184 结束，查询次数：286，结果数量：4032，去重-->3951，耗时：3.385秒
2023-03-16 14:13:22.221 结束，查询次数：286，结果数量：3973，去重-->3906，耗时：3.424秒
2023-03-16 14:13:22.299 结束，查询次数：286，结果数量：3973，去重-->3900，耗时：3.395秒
2023-03-16 14:13:22.310 结束，查询次数：286，结果数量：3992，去重-->3906，耗时：3.354秒
2023-03-16 14:13:22.313 结束，查询次数：286，结果数量：3921，去重-->3840，耗时：3.408秒
2023-03-16 14:13:22.374 结束，查询次数：286，结果数量：3967，去重-->3897，耗时：3.459秒
2023-03-16 14:13:22.421 结束，查询次数：286，结果数量：4084，去重-->3996，耗时：3.506秒
2023-03-16 14:13:22.421 结束，查询次数：286，结果数量：3978，去重-->3884，耗时：3.517秒
2023-03-16 14:13:22.423 结束，查询次数：286，结果数量：3968，去重-->3902，耗时：3.518秒
2023-03-16 14:13:22.440 结束，查询次数：286，结果数量：4024，去重-->3923，耗时：3.525秒
2023-03-16 14:13:22.457 结束，查询次数：286，结果数量：3959，去重-->3888，耗时：3.553秒
2023-03-16 14:13:22.457 结束，查询次数：286，结果数量：4033，去重-->3949，耗时：3.501秒
2023-03-16 14:13:22.458 结束，查询次数：286，结果数量：3952，去重-->3863，耗时：3.435秒
2023-03-16 14:13:22.462 结束，查询次数：286，结果数量：4008，去重-->3928，耗时：3.547秒
2023-03-16 14:13:22.462 结束，查询次数：286，结果数量：3968，去重-->3894，耗时：3.546秒
2023-03-16 14:13:22.464 结束，查询次数：286，结果数量：3962，去重-->3882，耗时：3.441秒
2023-03-16 14:13:22.497 结束，查询次数：286，结果数量：4043，去重-->3962，耗时：3.594秒
2023-03-16 14:13:22.542 结束，查询次数：286，结果数量：3971，去重-->3898，耗时：3.627秒
2023-03-16 14:13:22.557 结束，查询次数：286，结果数量：4003，去重-->3923，耗时：3.435秒
2023-03-16 14:13:22.570 结束，查询次数：286，结果数量：3959，去重-->3883，耗时：3.527秒
2023-03-16 14:13:22.574 结束，查询次数：286，结果数量：3969，去重-->3894，耗时：3.407秒
2023-03-16 14:13:22.580 结束，查询次数：286，结果数量：4006，去重-->3938，耗时：3.665秒
2023-03-16 14:13:22.582 结束，查询次数：286，结果数量：3908，去重-->3827，耗时：3.525秒
2023-03-16 14:13:22.597 结束，查询次数：286，结果数量：3980，去重-->3884，耗时：3.523秒
2023-03-16 14:13:22.613 结束，查询次数：286，结果数量：3980，去重-->3897，耗时：3.569秒
2023-03-16 14:13:22.613 结束，查询次数：286，结果数量：3992，去重-->3913，耗时：3.539秒
2023-03-16 14:13:22.623 结束，查询次数：286，结果数量：3928，去重-->3851，耗时：3.401秒
2023-03-16 14:13:22.627 结束，查询次数：286，结果数量：3911，去重-->3849，耗时：3.724秒
2023-03-16 14:13:22.632 结束，查询次数：286，结果数量：3988，去重-->3915，耗时：3.496秒
2023-03-16 14:13:22.639 结束，查询次数：286，结果数量：3994，去重-->3916，耗时：3.415秒
2023-03-16 14:13:22.664 结束，查询次数：286，结果数量：3973，去重-->3902，耗时：3.459秒
2023-03-16 14:13:22.668 结束，查询次数：286，结果数量：4083，去重-->3991，耗时：3.623秒
2023-03-16 14:13:22.677 结束，查询次数：286，结果数量：3979，去重-->3894，耗时：3.652秒
2023-03-16 14:13:22.682 结束，查询次数：286，结果数量：4011，去重-->3926，耗时：3.726秒
2023-03-16 14:13:22.690 结束，查询次数：286，结果数量：4012，去重-->3929，耗时：3.666秒
2023-03-16 14:13:22.690 结束，查询次数：286，结果数量：3916，去重-->3843，耗时：3.786秒
2023-03-16 14:13:22.690 结束，查询次数：286，结果数量：3975，去重-->3910，耗时：3.734秒
2023-03-16 14:13:22.698 结束，查询次数：286，结果数量：3999，去重-->3923，耗时：3.623秒
2023-03-16 14:13:22.710 结束，查询次数：286，结果数量：3948，去重-->3878，耗时：3.667秒
2023-03-16 14:13:22.716 结束，查询次数：286，结果数量：3950，去重-->3867，耗时：3.493秒
2023-03-16 14:13:22.728 结束，查询次数：286，结果数量：3971，去重-->3897，耗时：3.618秒
2023-03-16 14:13:22.729 结束，查询次数：286，结果数量：4085，去重-->4006，耗时：3.559秒
2023-03-16 14:13:22.736 结束，查询次数：286，结果数量：4038，去重-->3969，耗时：3.693秒
2023-03-16 14:13:22.737 结束，查询次数：286，结果数量：3898，去重-->3817，耗时：3.680秒
2023-03-16 14:13:22.742 结束，查询次数：286，结果数量：4037，去重-->3956，耗时：3.533秒
2023-03-16 14:13:22.745 结束，查询次数：286，结果数量：4015，去重-->3929，耗时：3.582秒
2023-03-16 14:13:22.746 结束，查询次数：286，结果数量：3997，去重-->3901，耗时：3.398秒
2023-03-16 14:13:22.746 结束，查询次数：286，结果数量：3918，去重-->3845，耗时：3.280秒
2023-03-16 14:13:22.775 结束，查询次数：286，结果数量：3979，去重-->3903，耗时：3.701秒
2023-03-16 14:13:22.775 结束，查询次数：286，结果数量：4014，去重-->3949，耗时：3.635秒
2023-03-16 14:13:22.776 结束，查询次数：286，结果数量：3974，去重-->3897，耗时：3.701秒
2023-03-16 14:13:22.776 结束，查询次数：286，结果数量：3962，去重-->3870，耗时：3.754秒
2023-03-16 14:13:22.798 当前已处理请求数量：756，当前已发送请求数量：112808
2023-03-16 14:13:22.805 结束，查询次数：286，结果数量：4021，去重-->3933，耗时：3.412秒
2023-03-16 14:13:22.819 结束，查询次数：286，结果数量：4008，去重-->3926，耗时：3.614秒
2023-03-16 14:13:22.831 结束，查询次数：286，结果数量：4010，去重-->3929，耗时：3.571秒
2023-03-16 14:13:22.840 结束，查询次数：286，结果数量：3939，去重-->3855，耗时：3.454秒
2023-03-16 14:13:22.840 结束，查询次数：286，结果数量：3926，去重-->3849，耗时：3.796秒
2023-03-16 14:13:22.841 结束，查询次数：286，结果数量：4031，去重-->3949，耗时：3.582秒
2023-03-16 14:13:22.843 结束，查询次数：286，结果数量：3961，去重-->3888，耗时：3.481秒
2023-03-16 14:13:22.860 结束，查询次数：286，结果数量：3919，去重-->3855，耗时：3.636秒
